Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,Drd_Shared_Opt/Drd_Shared_Pref,first,HOM,Drd_Shared_Opt/Drd_Shared_Pref,X,S,X,D,X,1,X,0,X,X,X,X,X,X,X,X,X,X,X,had_promotion=0,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,2,1,Drd_Shared_Opt/Drd_Shared_Pref,first,HOM,Drd_Shared_Opt/Drd_Shared_Pref,X,E/M,0,D,X,1,X,0,X,X,X,X,X,X,X,X,X,X,X,had_promotion=0,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,3,1,Drd_Shared_Opt/Drd_Shared_Pref,first,HOM,Drd_Shared_Opt/Drd_Shared_Pref,X,E/M,>1,D,X,1,X,0,X,X,X,X,X,X,X,X,X,X,X,had_promotion=0,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,4,1,Drd_Shared_Opt/Drd_Shared_Pref,first,HOM,Drd_Shared_Opt/Drd_Shared_Pref,X,S,X,D,X,0,X,0,X,X,X,X,X,X,X,X,X,X,X,had_promotion=0,b,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,5,1,Drd_Shared_Opt/Drd_Shared_Pref,first,HOM,Drd_Shared_Opt/Drd_Shared_Pref,X,E/M,0,D,X,0,X,0,X,X,X,X,X,X,X,X,X,X,X,had_promotion=0,b,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,6,1,Drd_Shared_Opt/Drd_Shared_Pref,first,HOM,Drd_Shared_Opt/Drd_Shared_Pref,X,E/M,>1,D,X,0,X,0,X,X,X,X,X,X,X,X,X,X,X,had_promotion=0,b,0,0,0,0,0,0,X,0,0,0,0,0
Rerutn Data from LLC,7,1,Drd_Shared_Opt/Drd_Shared_Pref,a,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),data(core_logic_id),0,0,0,X,0,0,0,0,0
Rerutn Data from LLC,8,1,Drd_Shared_Opt/Drd_Shared_Pref,b,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),data(core_logic_id),0,0,0,X,0,0,0,0,0
First Pass - snoop needed,9,1,Drd_Shared_Opt/Drd_Shared_Pref,first,HOM,Drd_Shared_Opt/Drd_Shared_Pref,X,E/M,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,had_promotion=0,c,0,0,0,0,0,0,X,0,0,0,0,0
First Pass - snoop needed,10,1,Drd_Shared_Opt/Drd_Shared_Pref,first,HOM,Drd_Shared_Opt/Drd_Shared_Pref,X,!LLC_I,>0,SF,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,had_promotion=0,c,0,0,0,0,0,0,X,0,0,0,0,0
First Pass - snoop needed,11,1,Drd_Shared_Opt/Drd_Shared_Pref,first,HOM,Drd_Shared_Opt/Drd_Shared_Pref,X,X,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,had_promotion=0,c,0,0,0,0,0,0,X,0,0,0,0,0
