Inputs,1,2,3,4,5,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,24,27,28,Expected Interfaces,output from Cpipe,24,25,28,29,30,input to Cpipe,32,33,36,37,38
Flow Section,Row Number,Row Enable ,Flow ,Bubble,Sad,Curr Opcode,Snoop response,LLC State,CV,Map,MonHit,CN,AvailData,SelfSnoop,SnoopConflict,FwdCnfltO,FreeInvWay,HadReject,CleanEvict,DeadDBP,ReqCV,SRP_en,SRP_HR_Fill,HadBogus,Pref_Promotion,MiscCondition,Next Bubble,IDI_U2C_REQ,IDI_U2C_RSP,IDI_U2C_DATA,UXI_C2U_REQ,UXI_C2U_DATA,UXI_C2U_RSP,CPIPE_REQ,IDI_C2U_RSP,IDI_C2U_DATA,UXI_U2C_REQ,UXI_U2C_RSP,UXI_U2C_DATA
First Pass,1,1,Crd/Crd_Pref/Monitor,first,HOM,Crd/Crd_Pref/Monitor,X,E/M,0,D,X,1,X,0,X,X,X,X,X,X,X,X,X,X,X,had_promotion=0,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,2,1,Crd/Crd_Pref/Monitor,first,HOM,Crd/Crd_Pref/Monitor,X,E/M,>1,D,X,1,X,0,X,X,X,X,X,X,X,X,X,X,X,"had_promotion=0,had_cv_err=0",a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,3,1,Crd/Crd_Pref/Monitor,first,HOM,Crd/Crd_Pref/Monitor,X,S,X,D,X,1,X,0,X,X,X,X,X,X,X,X,X,X,X,had_promotion=0,a,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,4,1,Crd/Crd_Pref/Monitor,first,HOM,Crd/Crd_Pref/Monitor,X,E/M,0,D,X,0,X,0,X,X,X,X,X,X,X,X,X,X,X,had_promotion=0,b,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,5,1,Crd/Crd_Pref/Monitor,first,HOM,Crd/Crd_Pref/Monitor,X,E/M,>1,D,X,0,X,0,X,X,X,X,X,X,X,X,X,X,X,"had_promotion=0,had_cv_err=0",b,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,6,1,Crd/Crd_Pref/Monitor,first,HOM,Crd/Crd_Pref/Monitor,X,S,X,D,X,0,X,0,X,X,X,X,X,X,X,X,X,X,X,had_promotion=0,b,0,0,0,0,0,0,X,0,0,0,0,0
Hit,7,1,Crd/Crd_Pref/Monitor,a,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),data(core_logic_id),0,0,0,X,0,0,0,0,0
Hit,8,1,Crd/Crd_Pref/Monitor,b,HOM,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Done,0,GO(core_logic_id),data(core_logic_id),0,0,0,X,0,0,0,0,0
First Pass,9,1,Crd/Crd_Pref/Monitor,first,HOM,Crd/Crd_Pref/Monitor,X,E/M,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,"had_promotion=0,had_cv_err=0",c,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,10,1,Crd/Crd_Pref/Monitor,first,HOM,Crd/Crd_Pref/Monitor,X,E/M/S,>0,SF,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,"had_promotion=0,had_cv_err=0",c,0,0,0,0,0,0,X,0,0,0,0,0
First Pass,11,1,Crd/Crd_Pref/Monitor,first,HOM,Crd/Crd_Pref/Monitor,X,!LLC_I,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X,X,X,"had_promotion=0,had_cv_err=0",c,0,0,0,0,0,0,X,0,0,0,0,0
Snoop - RspNack,12,1,Crd_Pref,c,HOM,X,RspNack,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,g,snoop(cv_vector),0,0,0,0,0,SNP_RSP,snoop_response(cv_vector),0,0,0,0
